2026-02-05T20:49:29.821915+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00007.bin
2026-02-05T20:52:18.183305+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00001.bin
2026-02-05T20:55:30.156030+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00004.bin
2026-02-05T20:58:42.096137+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00002.bin
2026-02-05T21:00:10.192478+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00008.bin
2026-02-05T21:02:58.541819+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00009.bin
2026-02-05T21:06:10.483473+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00003.bin
2026-02-05T21:08:58.845061+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00000.bin
2026-02-05T21:12:10.756978+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00006.bin
2026-02-05T21:13:26.727473+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00005.bin
2026-02-05T21:16:38.683170+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00007.bin
2026-02-05T21:17:54.625002+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapec/AYL-00001.bin
2026-02-05T21:19:10.576961+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00004.bin
2026-02-05T21:24:57.815979+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00002.bin
2026-02-05T21:27:46.205501+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00008.bin
2026-02-05T21:29:02.155553+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00009.bin
2026-02-05T21:31:50.495028+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00003.bin
2026-02-05T21:34:38.828535+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00000.bin
2026-02-05T21:37:50.788902+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00006.bin
2026-02-05T21:39:18.837078+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00005.bin
2026-02-05T21:40:34.818774+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00007.bin
2026-02-05T21:43:23.146772+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/feather/AYL-00001.bin
2026-02-05T21:46:35.134484+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00004.bin
2026-02-05T21:49:47.040950+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/ponytail/AYL-00002.bin
